refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeBackslash	errorBackslash	timeTS	errorTS
1	4	0.0140972	0.0856209959872697	2	0.0256443	0.085620996003648	37	0.0265236	0.085620995979576	12	0.0003959	0.0856209959872697	0.0030525	0.139321027049603
2	16	0.0123715	0.0220019756969375	3	0.0254173	0.0220020011409611	100	0.2640385	0.0325380564180971	100	0.0002579	0.0220019756969375	0.0019019	0.0143571911537734
3	64	0.0216942	0.00229158200175414	5	0.0250693	0.00229163709514069	100	0.5609167	0.0109944722200555	100	0.0003727	0.00229158200175414	0.0011016	0.00263357676796575
4	256	0.0622301	0.000268594224105311	9	0.0263685	0.000269838234027363	100	1.5462692	0.00139248314394019	100	0.003914	0.000268594224105331	0.0021749	0.000573497413859199
5	1024	0.302012	3.32020483694478e-05	17	0.0282821	3.32044417351273e-05	11	0.4568766	3.32092976805469e-05	12	0.0187234	3.3202048369523e-05	0.0048648	0.000134273121155594
6	4096	2.2261543	1.87950212587125e-05	28	0.0261379	5.78755301045944e-06	9	0.1887236	4.23057598502165e-06	5	0.1190117	4.1536136915957e-06	0.0089331	3.25120743486314e-05
7	16384	10.1234147	4.41970529283029e-06	38	0.0254951	4.06856139617667e-06	9	0.5772463	3.14321774184636e-06	5	0.4765219	5.20240717188148e-07	0.0176774	8.02203767578022e-06
8	65536	123.2059763	1.87650188971589e-06	62	0.0754435	4.03993801155616e-06	9	2.3756748	3.22966826581168e-07	6	3.2017222	6.50172626936319e-08	0.0369598	2.01473630948536e-06
9	262144	233.2377154	2.87421708537574e-07	70	0.3997061	9.19599285267095e-07	11	298.9536036	5.03679778966277e-07	100	16.3063116	1.71743619715768e-08	0.0952443	7.01870511791926e-07
