refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeTS	errorTS
1	16	0.017164	0.154402953398686	1	0.0050855	0.154402953398703	41	0.0072107	0.154402953398686	2	0.0033501	0.154402155976763
2	256	0.0108255	0.121357814072792	2	0.0057066	0.121357814072792	4	0.0102112	0.121357814072792	4	0.0062554	0.0340396271658693
3	4096	0.0545478	0.073656046485533	4	0.0596482	0.0736560464855333	8	0.1527412	0.0736560464855331	8	0.0061273	0.00227165886717773
4	65536	0.9044785	0.0444018421970261	8	1.9274655	0.0444018422086201	14	9.1713315	0.0444018444648436	11	0.2257483	0.000265683034469991
