refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeTS	errorTS
1	256	0.0140995	0.0328290450990825	2	0.0333567	0.0328290451004702	12	0.4090734	0.0328290448316617	12	0.0031861	0.0626089474598822
2	1296	0.0227113	0.00439405761265513	3	0.0658745	0.00439405754844603	17	1.1289482	0.00439405760820694	20	0.003719	0.00695343406141619
3	10000	0.5242736	0.000502101088803957	5	1.3493611	0.000502101449239739	19	37.22821	0.000502101104479333	22	0.1480958	0.00127712285192935
4	104976	10.38482	5.81547440863972e-05	9	19.7314908	5.81552246536511e-05	11	168.3595997	5.81733357475004e-05	8	2.707913	0.000278128282847613
