refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeTS	errorTS
1	16	0.0465034	0.126837150626661	1	0.0325916	0.126837150616613	100	0.0487976	0.126837150626661	2	0.0252168	0.0632841446080884
2	256	0.0357957	0.0846260391776571	2	0.0171154	0.0846260391776571	4	0.0221421	0.0846260391776571	4	0.0108352	0.0069601908742022
3	4096	0.0566539	0.0486981657430026	4	0.0857779	0.048698165743004	8	0.4515959	0.0486981657430028	8	0.0062174	0.00127812484336626
