refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeBackslash	errorBackslash	timeTS	errorTS
1	4	0.0015657	0.275749735627159	1	0.0134052	0.275749735627051	34	0.0057167	0.275749735627159	2	0.0002492	0.275749735627159	0.0006057	0.132929549238481
2	16	0.0032431	0.22624917620214	2	0.0250928	0.226249176202359	42	0.0066516	0.22624917620214	4	0.000229	0.22624917620214	0.0006343	0.0172226081616481
3	64	0.0100921	0.146384065594174	4	0.0254336	0.146384065854674	100	0.0108149	0.146384065594174	8	0.0002602	0.146384065594174	0.0009722	0.00272818998893897
4	256	0.0387657	0.0824016687137056	8	0.0087774	0.0824016687143962	11	0.0483558	0.0824016687196052	8	0.0014738	0.0824016687137054	0.0015172	0.000578791544230181
5	1024	0.233018	0.042806539536597	16	0.0106527	0.0428065395690123	11	0.0524776	0.0428065395243844	6	0.0066902	0.0428065395365899	0.0032079	0.000134614698282494
6	4096	2.0947228	0.0216395672107395	28	0.014601	0.0216395896384861	9	0.1251908	0.0216395666458955	5	0.0335625	0.0216395665990302	0.005831	3.25332852090003e-05
7	16384	11.1926425	0.010879778592932	39	0.0250203	0.0108797820970395	9	0.2232317	0.0108797809346428	4	0.1572023	0.0108797783797797	0.0117062	8.00169876926934e-06
8	65536	53.7359048	0.00550654639988802	55	0.0781306	0.00550652967781792	9	1.0785944	0.00550654653910771	4	0.9194862	0.00550654639920706	0.025749	1.98450204124822e-06
9	262144	785.2583212	0.00287650833438734	88	0.4884385	0.00287650074745535	10	7.5990587	0.00287650776697327	4	3.9481115	0.00287650927405323	0.0966141	4.94168307027336e-07
