refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeTS	errorTS
1	8	0.0010279	0.223203600777294	1	0.0045994	0.223203600777301	27	0.0035904	0.223203600777294	2	0.0004557	0.223261074575239
2	64	0.0041266	0.173477655308556	2	0.006454	0.173477655308556	4	0.011961	0.173477655308556	4	0.0012852	0.0493430656080823
3	512	0.0159982	0.111101109202264	4	0.0069838	0.111101109202264	8	0.0201096	0.111101109202264	8	0.0012221	0.00335777188658381
4	4096	0.0614205	0.0695319818979791	8	0.016909	0.0695319818954163	14	0.1891713	0.0695319819109855	12	0.0032477	0.000486409539111642
5	32768	0.5582504	0.0399460140611099	16	0.0559807	0.0399460154333741	15	0.254823	0.0399460120376134	8	0.0129343	9.96058779313558e-05
6	262144	3.9453406	0.0219288825458429	29	0.4279865	0.0219288574038203	14	1.6167397	0.0219288916108122	6	0.1655118	2.31656751856842e-05
7	2097152	10.3231391	0.0130005333158045	32	4.0178187	0.0129994330053078	13	16.1479577	0.0130005422710156	5	2.102161	5.62111696035444e-06
