refinements iterCGopt timeCGopt errorCGopt solvingErrorCGopt
1 2 2.687983 0.201945448394908 2.90940216434444e-16
2 4 0.200085 0.152316678518158 2.11073922154709e-14
3 8 0.417297 0.0992747480110356 2.22964442276498e-11
4 10 0.832815 0.0592376689524367 3.33377659585261e-07
5 7 0.73804 0.0319021150605587 2.41664916633643e-05
6 5 3.194259 0.0164843913801412 0.00089466744200406
7 4 20.757668 0.00866850467172714 0.00267688491668784
8 4 168.394805 0.00503171167689984 0.000412452435891011
