refinements iterGalerkin timeGalerkin errorGalerkin solvingErrorGalerkin
1 1 0.156926 0.0339318533637308 4.26741772000668e-16
2 2 0.03739 0.0268217603640457 1.23046170032466e-15
3 5 0.17569 0.0169689644237582 1.36801330684557e-11
4 13 0.139237 0.0100583842652182 3.95053101726637e-06
5 13 0.310235 0.00584075393917179 0.000138520863693189
6 11 0.668803 0.00338131952662855 0.00387009279265972
7 12 7.544694 0.00202134644398494 0.00624891543843128
8 18 68.112138 0.00135325711355248 0.00572807580883381
