refinements iterCGlyap timeCGlyap errorCGlyap solvingErrorCGlyap
1 24 3.015135 0.201945448395013 1.94594184651557e-09
2 4 0.252218 0.152316678518158 1.7729197849851e-15
3 8 0.346454 0.0992747480110357 1.98704800272501e-13
4 13 0.639348 0.0592376689362844 2.19067910986185e-07
5 13 1.723697 0.0319021156058405 5.9297987943909e-06
6 12 6.856775 0.0164843827662432 0.000999590460536688
7 12 70.930089 0.00866848452426358 0.00276034835578364
8 12 635.343118 0.00503174805353161 0.00618169112235181
