refinements iterGalerkin timeGalerkin errorGalerkin solvingErrorGalerkin
1 1 0.155726 0.201945448394908 9.71694392212321e-16
2 2 0.062322 0.152316678518158 6.45952666158686e-16
3 4 0.139817 0.0992747480110357 3.63802603086068e-15
4 8 0.114473 0.059237668949427 6.02237774767174e-14
5 11 0.217668 0.0319021157601537 9.0015006489852e-06
6 10 0.546515 0.0164844000054372 0.00956790664146826
7 14 8.991489 0.00866849999904352 0.000957898521777821
8 12 42.614798 0.00503170919274287 0.00231313621834524
