refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeTS	errorTS
1	81	3.031295	0.0862226187887371	2	0.112594	0.0838223087352499
2	625	0.336628	0.0595347465317006	5	0.013617	0.0592248730416763
3	6561	1.557421	0.0496437194100526	17	0.110005	0.0485700585826322
4	83521	16.329562	0.0377384473963492	53	2.982847	0.0366297635024131
5	1185921	31.183456	0.0286380067827329	11	59.324958	0.0260230427113544
6	17850625	495.960547	0.0240135349120359	14	1029.3126	0.01858425926524
