refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeBackslash	errorBackslash	timeTS	errorTS
1	16	3.320446	0.0243936340056548	2	0.018219	0.0243937142206949	16	0.138204	0.0243935979242047	6	0.001189	0.0243936340056548	0.062631	0.947089911611608
2	36	0.036753	0.0141805545193744	3	0.013319	0.0142158707257446	30	0.086823	0.014196990304102	11	0.00144	0.0141805545193744	0.019848	0.136857701778838
3	100	0.083077	0.006259902678956	5	0.014224	0.00955614628155566	13	5.80697	0.0444571294815122	1000	0.000737	0.00625990267895603	0.007584	0.0248849792059361
4	324	0.109113	0.00326345121850465	8	0.014066	0.00656205000528881	11	0.112556	0.00691349447264579	5	0.073873	0.00275111470813023	0.003618	0.00965245786070154
5	1156	0.370171	0.00146996280276802	16	0.019926	0.00657339861612351	13	37.880576	0.00501064878671637	1000	0.031176	0.00121903658117968	0.037792	0.00489031187059409
6	4356	1.911792	0.0016797797131131	24	0.042791	0.00668466102140997	19	110.501216	0.00472657778571943	1000	0.176905	0.000543745962811409	0.050972	0.00248972016081458
7	16900	5.385772	0.00396855315708448	30	0.051979	0.00809700277281191	15	268.913213	0.00496302393753983	1000	0.868203	0.000244013818446332	0.041134	0.00126272083860598
8	66564	14.244398	0.00184904159561558	37	0.129068	0.00822131072905072	16	1401.729259	0.00308909849225616	1000	5.946121	0.000109755590018316	0.088278	0.000638165513622898
