refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeBackslash	errorBackslash	timeTS	errorTS
1	4	0.0009104	0.279839677546134	1	0.0076899	0.279841049609615	10	0.0038243	0.279839677546134	2	0.0002533	0.279839677546134	0.0013202	0.707278728119247
2	16	0.0034335	0.245327925617025	2	0.0072431	0.245327348032416	15	0.0094399	0.245327761083055	7	0.0001892	0.245327925617025	0.0011596	0.339228132438729
3	64	0.0114087	0.21367440687473	4	0.0077492	0.213614800682474	14	0.0106952	0.213680707274009	6	0.0002283	0.21367440687473	0.0013618	0.314046696018896
4	256	0.0431809	0.183618241178249	8	0.0087042	0.183658402389345	124	5.0698105	0.184127077409171	1000	0.0016716	0.183618241178247	0.0025158	0.207871838792185
5	1024	0.1712486	0.149317173824424	14	0.0103216	0.179779154989975	1000	18.7915677	0.154345888652759	1000	0.0070133	0.149314659670746	0.0050808	0.15132958603374
6	4096	0.9953249	0.120008217000365	22	0.0134954	0.210325017264316	1000	59.3179685	0.13072188443684	1000	0.0357013	0.11999441833821	0.0094586	0.124005026624449
