refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeBackslash	errorBackslash	timeTS	errorTS
1	9	3.094469	0.056694638487585	1	0.013509	0.0566948886261526	13	0.143162	0.0566946484210794	5	0.001251	0.056694638487585	0.060784	0.919860856688782
2	25	0.027019	0.0214755601096443	2	0.02283	0.02147857539105	20	0.079496	0.0214769994132648	25	0.000957	0.0214755601096442	0.018737	0.112503897050147
3	81	0.097614	0.0098368429200149	4	0.014348	0.0100643763446876	15	5.959426	0.0295251896023147	1000	0.000796	0.00983684292001492	0.008836	0.0238671493656305
4	289	0.327614	0.00467695892795314	8	0.013595	0.0066167487195017	12	12.170247	0.0296151134495103	1000	0.065636	0.00467695892795323	0.004009	0.0103005698187292
5	1089	0.143682	0.00310754389976034	11	0.018884	0.00554911002822528	36	0.206914	0.00632963894223311	5	0.040706	0.00227326056921686	0.008681	0.00503710085815395
6	4225	0.964163	0.00150690749435407	20	0.078542	0.010879289727312	25	105.081368	0.00534520285886328	1000	0.111329	0.00112344858116707	0.038046	0.00252386197271356
7	16641	5.838799	0.00166787724667322	30	0.049613	0.00798739873514287	13	1.335498	0.0050561998121396	5	0.616638	0.000569969162839797	0.042369	0.00127091596410203
8	66049	7.511697	0.00149114953428729	33	0.127126	0.0200214182747673	1000	1567.472437	0.00320496231799636	1000	5.119973	0.000309081639240886	0.085331	0.000640237663953257
