refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeBackslash	errorBackslash	timeTS	errorTS
1	9	5.382384	0.251735639355133	1	0.021207	0.251734175037677	15	0.463391	0.251735639355133	6	0.002007	0.251735639355133	0.187315	8.18309655081576
2	25	0.03938	0.2054611039594	2	0.017704	0.205464953399717	29	0.406277	0.205461459180804	55	0.001748	0.2054611039594	0.032156	1.4370744424081
3	81	0.183583	0.158313584419046	4	0.028132	0.158163593702172	60	9.109194	0.208779286707293	1000	0.001396	0.158313584419046	0.015215	0.408059966918737
4	289	0.267393	0.11158195078412	8	0.054627	0.118454780644096	1000	23.205395	0.214865310380779	1000	0.097092	0.111581950784119	0.00781	0.237856859532045
5	1089	0.599997	0.0906325216254332	16	0.029535	0.198182874878573	1000	30.399687	0.134738611849473	1000	0.053112	0.0906325216254391	0.016116	0.158642168210341
6	4225	10.74412	0.0712654343497283	31	0.042703	0.210004710597301	1000	149.232396	0.128070864313432	1000	0.186124	0.0711808859810801	0.060207	0.126800165662875
7	16641	447.210023	0.0568575116376958	62	0.073961	0.183093072177946	1000	356.413735	0.107356165043951	1000	1.092495	0.0568103366059296	0.082911	0.0998705213483227
