refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeBackslash	errorBackslash	timeTS	errorTS
1	9	2.455918	0.251968559242425	1	0.012996	0.251968535863601	13	0.227052	0.251968559242425	3	0.001556	0.251968559242425	0.145202	0.137625034505761
2	25	0.029948	0.0747052181186233	2	0.012847	0.0747061039344387	18	0.062342	0.0747053725173531	7	0.000948	0.0747052181186233	0.0186	0.014648665801354
3	81	0.146633	0.0184881421707663	4	0.014202	0.0185064353878585	15	5.54745	0.0192544308125682	1000	0.000778	0.0184881421707663	0.01568	0.00263377164294978
4	289	0.20377	0.00447960394225546	8	0.014089	0.0044937981508649	17	12.208777	0.00452268705205291	1000	0.010936	0.0044796039422555	0.007018	0.000573234563463823
5	1089	0.362217	0.00111256617917038	16	0.019036	0.00112255659133134	9	0.263093	0.00111295312420856	5	0.023492	0.00111256617917032	0.013345	0.000134207885626751
6	4225	3.459417	0.000281347553588818	27	0.026196	0.000281356640997385	9	0.376053	0.000281345637667378	5	0.106806	0.000281343296735903	0.014236	3.24954492308391e-05
7	16641	16.778935	7.4103294500301e-05	37	0.048121	7.41486104712054e-05	9	0.608635	7.42090179241084e-05	4	0.620664	7.40549935067294e-05	0.035052	8.00023306068327e-06
8	66049	67.185331	2.17067009250277e-05	48	0.116611	2.20449206272923e-05	9	3.139927	2.16856440632373e-05	4	4.426725	2.16843685357927e-05	0.078451	2.01398612501738e-06
