refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeTS	errorTS
1	256	0.493734	0.122821752764628	2	0.077954	0.07270241910623
2	1296	0.055227	0.0492927940513873	3	0.019819	0.00973061362806499
3	10000	2.371912	0.00645201581267037	5	0.168602	0.00129998062730643
4	104976	6.947825	0.000833442177475939	8	2.993554	0.000282462879394068
5	1336336	134.383733	0.000138091773963039	16	39.354836	6.6132001123006e-05
