refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeBackslash	errorBackslash	timeTS	errorTS
1	4	3.161742	0.28043919103635	1	0.007963	0.280439956185944	9	0.319998	0.28043919103635	2	0.001407	0.28043919103635	0.088596	0.707144101687139
2	16	0.035744	0.245782710559344	2	0.012727	0.245783110348983	15	0.076926	0.245782577360066	7	0.000968	0.245782710559344	0.025893	0.339470847328332
3	64	0.073644	0.214257912627056	4	0.014106	0.214226864107948	15	0.038494	0.214263614082918	6	0.000558	0.214257912627056	0.010169	0.314053386869676
4	256	0.266951	0.184798697138403	8	0.053836	0.184890148504787	1000	8.338115	0.185172378694148	1000	0.141005	0.184798697138402	0.005801	0.207859659055592
5	1024	0.206029	0.151272107807501	14	0.019417	0.191063343099433	1000	25.97803	0.155018756558582	1000	0.037258	0.151270747680937	0.008262	0.151649934952906
6	4096	1.337167	0.121202943601131	22	0.026284	0.210539499335583	1000	98.456341	0.1316132552975	1000	0.051088	0.12119628535107	0.03185	0.124312164366406
7	16384	11.765476	0.0990020315739527	35	0.04763	0.198228457499726	1000	260.960729	0.115346158652777	1000	0.28064	0.0989943248750861	0.035902	0.0983910794649544
8	65536	81.035209	0.0826879607631943	50	0.124521	0.205922785047097	1000	1487.661507	0.107306509342409	1000	1.636721	0.0826556329203031	0.082597	0.078052638539395
