refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeBackslash	errorBackslash	timeTS	errorTS
1	16	5.699744	0.251296791791692	2	0.025194	0.251306065098306	18	0.377579	0.251296938697478	7	0.001827	0.251296791791692	0.179337	8.09118017333596
2	36	0.050114	0.197551975673336	3	0.021453	0.197567991712922	104	0.08574	0.197550827770603	13	0.001166	0.197551975673336	0.03732	1.52934461781616
3	100	0.096751	0.131055182978793	5	0.017165	0.131233856308765	62	6.978085	0.212786806388501	1000	0.001181	0.131055182978793	0.013573	0.476084628467344
4	324	0.329792	0.0974911369934567	9	0.022068	0.106120562437536	1000	15.427495	0.236030432865146	1000	0.106169	0.0974911369934555	0.005894	0.214931228369872
5	1156	0.635354	0.0760691137262731	17	0.024948	0.18719350361046	1000	48.491878	0.202566548901763	1000	0.040408	0.0760691137263031	0.019498	0.147903418723277
6	4356	11.322687	0.0580168296458979	33	0.03472	0.207149585920193	1000	131.277056	0.133204779354994	1000	0.208234	0.0579509254559037	0.069908	0.123526431666571
7	16900	360.953173	0.0447548360250448	61	0.061512	0.197828950049423	1000	321.546785	0.108197283911762	1000	1.082361	0.0442164365812074	0.067825	0.0980105319840175
