refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeTS	errorTS
1	256	2.822451	0.0952984005195213	2	0.043703	0.0914134978803173
2	1296	0.164188	0.0669032010389006	5	0.015963	0.064573606750977
3	10000	2.004509	0.0544059267334242	24	0.315934	0.0539392518495866
4	104976	80.637958	0.0366133927941318	82	6.677726	0.0365673980362375
5	1336336	177.094596	0.0279252389025638	22	101.052014	0.0259361704079053
6	18974736	1624.896718	0.024274181192675	21	2032.094177	0.0185852131413995
