refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeTS	errorTS
1	16	0.0206259	0.0366559869622943	1	0.0058323	0.036655986964024	19	0.0244363	0.0366559869622943	2	0.0072161	0.0360984473975784
2	256	0.0221608	0.0302083710058226	2	0.011613	0.0302083710055464	14	0.0856308	0.0302083710056069	13	0.0067437	0.0293057605375961
3	4096	0.1352146	0.0139292478034909	10	0.1058378	0.0139292838558869	100	8.5258015	0.0139302116116141	100	0.0162556	0.00638501655881372
