refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeBackslash	errorBackslash	timeTS	errorTS
1	4	0.262521	0.275862749386341	1	0.007788	0.275862777958585	23	0.124548	0.275862749386341	2	0.001342	0.275862749386341	0.022644	0.13286541773903
2	16	0.017638	0.226265077800112	2	0.011514	0.226265068585118	18	0.064158	0.226265077800112	4	0.000915	0.226265077800112	0.012543	0.0172199423667668
3	64	0.038303	0.146258408322328	4	0.012611	0.14627193960377	12	0.013308	0.146262410822268	5	0.000435	0.146258408322328	0.01529	0.0027271028336484
4	256	0.083076	0.0822854961659286	8	0.007407	0.0822856752485968	8	0.064964	0.0822853931274131	5	0.044737	0.0822854961659282	0.004132	0.000578523180507855
5	1024	0.288715	0.0427585792328663	16	0.011219	0.0427587594756843	8	0.06497	0.0427585863775977	5	0.009578	0.0427585792328513	0.008682	0.000134549954193705
6	4096	3.278145	0.0216610499177361	28	0.014592	0.0216610946654582	9	0.124587	0.0216610730961632	4	0.042025	0.0216610493081697	0.006997	3.25174564095882e-05
7	16384	19.624064	0.0109847322753038	39	0.035609	0.0109847387255442	9	0.412786	0.0109847366473503	4	0.241867	0.0109847320574651	0.018493	7.99778419250405e-06
8	65536	102.813496	0.00574164109678147	55	0.094898	0.00574160816710923	9	2.323873	0.00574164145895393	4	1.46822	0.0057416411941419	0.080837	1.98351991810017e-06
