refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeTS	errorTS
1	8	4.051852	0.223203600777282	1	0.005401	0.223203600882622	8	0.484176	0.223203600777282	2	0.066328	0.223261074575238
2	64	0.111003	0.173477655308566	2	0.013456	0.173477655308566	4	0.083843	0.173477655308565	4	0.013064	0.0493430656080806
3	512	0.181918	0.111101109202256	4	0.008314	0.111101957530229	7	0.036683	0.111099820620333	6	0.008826	0.00335777188658391
4	4096	0.500422	0.0695319818979953	8	0.020613	0.069524771161778	9	0.184706	0.069548407649741	6	0.006299	0.000486409539111676
5	32768	0.372807	0.0399460442638134	14	0.072305	0.0399451821100758	12	10.664924	0.0399459636181955	7	0.143039	9.96058779313581e-05
6	262144	5.492102	0.0219288825458526	29	0.438758	0.0219283390794429	13	1.215967	0.0219274976259341	5	0.130294	2.31656751856857e-05
