refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeBackslash	errorBackslash	timeTS	errorTS
1	16	2.708292	0.0856816815971868	2	0.018634	0.0856848398006161	17	0.144478	0.0856823018370105	6	0.00141	0.0856816815971868	0.036521	0.139255801520409
2	36	0.04096	0.02201547487236	3	0.018056	0.0221905558035791	20	4.242589	0.0228522521839008	1000	0.001321	0.02201547487236	0.022292	0.0143502056697568
3	100	0.077025	0.00229273328818699	5	0.015369	0.00253037231077862	13	4.993009	0.00549963368311743	1000	0.000956	0.00229273328818698	0.011682	0.00263229217190948
4	324	0.144727	0.000268730786258784	9	0.015388	0.000442677592520242	11	15.586467	0.00115606873353358	1000	0.028897	0.000268730786258672	0.007709	0.000573217659243997
5	1156	0.447949	3.3220497031539e-05	17	0.026345	6.07108974036481e-05	8	0.211251	3.38572878718631e-05	5	0.03142	3.3220497031632e-05	0.009212	0.000134207622071089
6	4356	4.274148	1.87867516055565e-05	28	0.026561	5.79842576175115e-06	9	0.352801	4.23251855282611e-06	5	0.182423	4.15589610584426e-06	0.021197	3.24962175479602e-05
7	16900	21.226823	4.41733940242519e-06	38	0.04817	4.08697968965047e-06	9	0.981574	3.16944841415676e-06	5	0.907805	5.19514167141131e-07	0.037902	8.01814998103317e-06
8	66564	296.60737	1.87542534991467e-06	62	0.117539	4.05842521773877e-06	9	4.442233	5.44726618835298e-07	5	5.749587	6.27213519255467e-08	0.095987	2.01380015474404e-06
