refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeTS	errorTS
1	81	0.536038	0.130234710836934	1	0.028558	0.0695240446372383
2	625	1.032007	0.047903508535905	2	0.027074	0.00907060223393841
3	6561	0.339765	0.0236605963938854	4	0.047313	0.00136601570438159
4	83521	2.713939	0.00610641905859814	8	0.90377	0.000283080660752706
5	1185921	40.993493	0.00173492090461918	14	16.135161	6.61458172962864e-05
