refinements	unknowns	timeGalerkin	errorGalerkin	iterGalerkin	timeCGLyap	errorCGLyap	iterCGLyap	timeCGOpt	errorCGOpt	iterCGOpt	timeTS	errorTS
1	16	5.013211	0.157090510432818	1	0.023682	0.157090510432809	58	0.444533	0.157090510432818	2	0.22305	0.157102946058013
2	256	0.137236	0.121336870394276	2	0.007853	0.121336870394276	4	0.058593	0.121336870394276	4	0.042426	0.0346274949392802
3	4096	0.900805	0.0762405510090112	4	0.094652	0.0762405510090116	8	0.333442	0.076240551009011	8	0.015087	0.00236660421223157
4	65536	0.990151	0.0470297219333361	8	2.276472	0.0470297219372919	14	11.474654	0.0470297224743615	11	0.153145	0.000341711206859353
5	1048576	15.871788	0.0275660318444872	16	87.53613	0.0275660187631848	14	326.849059	0.0275660335098965	8	2.51423	6.95317741602965e-05
